Renamed_From	Renamed_To
CLV_NDR_NDR_1	CLV_NRD_NRD_1
DOC_MAPK_1	DOC_MAPK_gen_1
DOC_MAPK_2	DOC_MAPK_FxFP_2
DOC_PP1	DOC_PP1_RVXF_1
DOC_PP2B_1	DOC_PP2B_PxIxI_1
DOC_PP2B_2	DOC_PP2B_LxvP_1
LIG_14-3-3_1	LIG_14-3-3_CanoR_1
LIG_14-3-3_2	LIG_14-3-3_CanoR_1
LIG_14-3-3_3	LIG_14-3-3_CanoR_1
LIG_AGCK_PIF_1	DOC_AGCK_PIF_1
LIG_AGCK_PIF_2	DOC_AGCK_PIF_2
LIG_AGCK_PIF_3	DOC_AGCK_PIF_3
lig_apcc_dbox_1	DEG_APCC_DBOX_1
lig_apcc_kenbox_2	DEG_APCC_KENBOX_2
lig_apcc_tpr_1	DEG_APCC_TPR_1
LIG_COP1	DEG_COP1
lig_crl4_cdt2_1	DEG_CRL4_CDT2_1
lig_crl4_cdt2_2	DEG_CRL4_CDT2_2
lig_ctbp	LIG_CtBP_PxDLS_1
LIG_CYCLIN_1	DOC_CYCLIN_1
lig_eh	LIG_EH_1
lig_eh1	LIG_EH1_1
lig_evh1_i	LIG_EVH1_1
lig_evh1_ii	LIG_EVH1_2
lig_evh1_iii	LIG_EVH1_3
LIG_MAPK_1	DOC_MAPK_1
LIG_MAPK_2	DOC_MAPK_2
lig_mdm2	DEG_MDM2_1
lig_mynd	LIG_MYND_1
lig_odph_vhl_1	DEG_ODPH_VHL_1
lig_pcna	LIG_PCNA_PIPBox_1
lig_pdz_1	LIG_PDZ_Class_1
lig_pdz_2	LIG_PDZ_Class_2
lig_pdz_3	LIG_PDZ_Class_3
LIG_PIKK_1	DOC_PIKK_1
LIG_PP1	DOC_PP1
LIG_PP2B_1	DOC_PP2B_1
lig_ptap	LIG_PTAP_UEV_1
lig_ptb_1	LIG_PTB_Phospho_1
lig_ptb_2	LIG_PTB_Apo_2
lig_pxl	LIG_FAT_LD_1
LIG_RAPTOR_TOS_1	DOC_WD40_RPTOR_TOS_1
lig_rb	LIG_Rb_LxCxE_1
lig_scf_coi1_1	DEG_SCF_COI1_1
lig_scf_fbw7_1	DEG_SCF_FBW7_1
lig_scf_fbw7_2	DEG_SCF_FBW7_2
lig_scf_skp2-cks1_1	DEG_SCF_SKP2-CKS1_1
lig_scf_tir1_1	DEG_SCF_TIR1_1
lig_scf-trcp1_1	DEG_SCF_TRCP1_1
lig_siah_1	DEG_SIAH_1
LIG_SPAK-OSR1_1	DOC_SPAK_OSR1_1
LIG_SUMO_SBM_1	LIG_SUMO_SIM_par_1
LIG_SUMO_SBM_2	LIG_SUMO_SIM_anti_2
lig_tnkbm	LIG_TNKBM_1
LIG_TNKBM_1	DOC_ANK_TNKS_1
LIG_USP7_1	DOC_USP7_1
LIG_USP7_2	DOC_USP7_2
LIG_WD40_WDR5_1	LIG_WD40_WDR5_VDV_1
LIG_WD40_WDR5_2	LIG_WD40_WDR5_VDV_2
lig_ww_4	LIG_WW_Pin1_4
LIG_WW_Pin1_4	DOC_WW_PIN1_4
mod_cdk	MOD_CDK_1
mod_sumo	MOD_SUMO_for_1
MOD_TYR_ITAM	LIG_TYR_ITAM
MOD_TYR_ITIM	LIG_TYR_ITIM
MOD_TYR_ITSM	LIG_TYR_ITSM
trg_pex	TRG_PEX_1
TRG_PEX_1	LIG_Pex14_1
TRG_PEX_2	LIG_Pex14_2
TRG_PEX_3	LIG_Pex3_1
trg_wxxxy_f	TRG_PEX
DEG_COP1	DEG_COP1_1
DOC_CYCLIN_1	DOC_CYCLIN_RXL_1
DOC_USP7_1	DOC_USP7_MATH_1
DOC_USP7_2	DOC_USP7_MATH_2
LIG_APCC_Dbox_1	DEG_APCC_DBOX_1
LIG_APCC_KENbox_2	DEG_APCC_KENBOX_2
LIG_CtBP	LIG_CtBP_PxDLS_1
LIG_EH1	LIG_EH1_1
LIG_IBS_1	LIG_IBS_1
LIG_IQ	LIG_CaM_IQ_9
LIG_MDM2	DEG_MDM2_SWIB_1
LIG_PCNA	LIG_PCNA_PIPBox_1
LIG_PCNA	LIG_PCNA_APIM_2
LIG_PCNA	LIG_PCNA_TLS_4
LIG_PCNA	LIG_PCNA_yPIPBox_3
LIG_SCF_FBW7_1	DEG_SCF_FBW7_1
LIG_SCF_FBW7_2	DEG_SCF_FBW7_2
LIG_SCF-TrCP1_1	DEG_SCF_TRCP1_1
LIG_SH2_GRB2	LIG_SH2_GRB2like
LIG_SIAH_1	DEG_SIAH_1
MOD_CDK	MOD_CDK_SPK_2
MOD_CDK	MOD_CDK_SPxK_1
MOD_CDK	MOD_CDK_SPxxK_3
MOD_PLK	MOD_Plk_1
MOD_PLK	MOD_Plk_2-3
MOD_PLK	MOD_Plk_4
MOD_SUMO	MOD_SUMO_for_1
MOD_SUMO	MOD_SUMO_rev_2
LIG_TNKBM	DOC_ANK_TNKS_1
LIG_WW_4	DOC_WW_Pin1_4
TRG_PEX	LIG_Pex14_1
